"cell_id","role","module","action","permission_api_field","question_for_owner"
"SUPERVISOR:equipos:autorizar","SUPERVISOR","equipos","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:marcar_remate:ver","BODEGA","marcar_remate","ver","puedeVer","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:marcar_remate:crear","BODEGA","marcar_remate","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:marcar_remate:editar","BODEGA","marcar_remate","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:dashboard:crear","BODEGA","dashboard","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:dashboard:editar","BODEGA","dashboard","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:dashboard:autorizar","BODEGA","dashboard","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:pos:editar","BODEGA","pos","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:pos:autorizar","BODEGA","pos","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:entradas:autorizar","BODEGA","entradas","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:movimientos:crear","BODEGA","movimientos","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:movimientos:editar","BODEGA","movimientos","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:movimientos:autorizar","BODEGA","movimientos","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:etiquetas:autorizar","BODEGA","etiquetas","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:inventario:crear","BODEGA","inventario","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:inventario:autorizar","BODEGA","inventario","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:productos:autorizar","BODEGA","productos","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:precios:crear","BODEGA","precios","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:precios:autorizar","BODEGA","precios","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:clientes:autorizar","BODEGA","clientes","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:clientes_credito:crear","BODEGA","clientes_credito","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:clientes_credito:autorizar","BODEGA","clientes_credito","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:clientes_precios:crear","BODEGA","clientes_precios","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:clientes_precios:editar","BODEGA","clientes_precios","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:clientes_precios:autorizar","BODEGA","clientes_precios","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:clientes_finanzas:editar","BODEGA","clientes_finanzas","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:caja_abonos:ver","BODEGA","caja_abonos","ver","puedeVer","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:caja_abonos:editar","BODEGA","caja_abonos","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:caja_abonos:autorizar","BODEGA","caja_abonos","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:clientes_recapturas:ver","BODEGA","clientes_recapturas","ver","puedeVer","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:clientes_recapturas:editar","BODEGA","clientes_recapturas","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:clientes_recapturas:autorizar","BODEGA","clientes_recapturas","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:proveedores:autorizar","BODEGA","proveedores","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:proveedores_finanzas:editar","BODEGA","proveedores_finanzas","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:ubicaciones:autorizar","BODEGA","ubicaciones","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:usuarios:autorizar","BODEGA","usuarios","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:permisos:crear","BODEGA","permisos","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:permisos:autorizar","BODEGA","permisos","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:resumen_caja:crear","BODEGA","resumen_caja","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:resumen_caja:editar","BODEGA","resumen_caja","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:resumen_caja:autorizar","BODEGA","resumen_caja","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:cortes:editar","BODEGA","cortes","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:cortes:autorizar","BODEGA","cortes","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:cobros_pagos:editar","BODEGA","cobros_pagos","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:cobros_pagos:autorizar","BODEGA","cobros_pagos","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:reportes:crear","BODEGA","reportes","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:reportes:editar","BODEGA","reportes","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:reportes:autorizar","BODEGA","reportes","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:conciliacion:crear","BODEGA","conciliacion","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:conciliacion:editar","BODEGA","conciliacion","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:auditoria:crear","BODEGA","auditoria","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:auditoria:editar","BODEGA","auditoria","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:auditoria:autorizar","BODEGA","auditoria","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:camionetas:autorizar","BODEGA","camionetas","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:choferes:autorizar","BODEGA","choferes","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:viajes:editar","BODEGA","viajes","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:viajes:autorizar","BODEGA","viajes","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:salidas_venta:editar","BODEGA","salidas_venta","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:salidas_venta:autorizar","BODEGA","salidas_venta","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"BODEGA:equipos:autorizar","BODEGA","equipos","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SISTEMAS:marcar_remate:ver","SISTEMAS","marcar_remate","ver","puedeVer","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SISTEMAS:marcar_remate:crear","SISTEMAS","marcar_remate","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SISTEMAS:marcar_remate:editar","SISTEMAS","marcar_remate","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SISTEMAS:dashboard:crear","SISTEMAS","dashboard","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SISTEMAS:dashboard:editar","SISTEMAS","dashboard","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SISTEMAS:dashboard:autorizar","SISTEMAS","dashboard","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SISTEMAS:pos:editar","SISTEMAS","pos","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SISTEMAS:pos:autorizar","SISTEMAS","pos","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SISTEMAS:entradas:autorizar","SISTEMAS","entradas","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SISTEMAS:movimientos:autorizar","SISTEMAS","movimientos","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SISTEMAS:etiquetas:autorizar","SISTEMAS","etiquetas","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SISTEMAS:inventario:crear","SISTEMAS","inventario","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SISTEMAS:inventario:autorizar","SISTEMAS","inventario","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SISTEMAS:productos:autorizar","SISTEMAS","productos","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SISTEMAS:precios:autorizar","SISTEMAS","precios","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SISTEMAS:ajustes:editar","SISTEMAS","ajustes","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SISTEMAS:clientes:autorizar","SISTEMAS","clientes","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SISTEMAS:clientes_credito:crear","SISTEMAS","clientes_credito","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SISTEMAS:clientes_credito:autorizar","SISTEMAS","clientes_credito","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SISTEMAS:clientes_precios:crear","SISTEMAS","clientes_precios","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SISTEMAS:clientes_precios:editar","SISTEMAS","clientes_precios","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SISTEMAS:clientes_precios:autorizar","SISTEMAS","clientes_precios","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SISTEMAS:clientes_finanzas:editar","SISTEMAS","clientes_finanzas","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SISTEMAS:caja_abonos:ver","SISTEMAS","caja_abonos","ver","puedeVer","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SISTEMAS:caja_abonos:editar","SISTEMAS","caja_abonos","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SISTEMAS:caja_abonos:autorizar","SISTEMAS","caja_abonos","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SISTEMAS:clientes_recapturas:ver","SISTEMAS","clientes_recapturas","ver","puedeVer","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SISTEMAS:clientes_recapturas:editar","SISTEMAS","clientes_recapturas","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SISTEMAS:clientes_recapturas:autorizar","SISTEMAS","clientes_recapturas","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SISTEMAS:proveedores:autorizar","SISTEMAS","proveedores","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SISTEMAS:proveedores_finanzas:editar","SISTEMAS","proveedores_finanzas","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SISTEMAS:ubicaciones:autorizar","SISTEMAS","ubicaciones","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SISTEMAS:usuarios:autorizar","SISTEMAS","usuarios","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SISTEMAS:permisos:crear","SISTEMAS","permisos","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SISTEMAS:permisos:autorizar","SISTEMAS","permisos","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SISTEMAS:resumen_caja:crear","SISTEMAS","resumen_caja","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SISTEMAS:resumen_caja:editar","SISTEMAS","resumen_caja","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SISTEMAS:resumen_caja:autorizar","SISTEMAS","resumen_caja","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SISTEMAS:cortes:editar","SISTEMAS","cortes","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SISTEMAS:cortes:autorizar","SISTEMAS","cortes","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SISTEMAS:cobros_pagos:editar","SISTEMAS","cobros_pagos","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SISTEMAS:cobros_pagos:autorizar","SISTEMAS","cobros_pagos","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SISTEMAS:reportes:crear","SISTEMAS","reportes","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SISTEMAS:reportes:editar","SISTEMAS","reportes","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SISTEMAS:reportes:autorizar","SISTEMAS","reportes","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SISTEMAS:conciliacion:editar","SISTEMAS","conciliacion","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SISTEMAS:auditoria:crear","SISTEMAS","auditoria","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SISTEMAS:auditoria:editar","SISTEMAS","auditoria","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SISTEMAS:auditoria:autorizar","SISTEMAS","auditoria","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SISTEMAS:camionetas:autorizar","SISTEMAS","camionetas","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SISTEMAS:choferes:autorizar","SISTEMAS","choferes","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SISTEMAS:viajes:autorizar","SISTEMAS","viajes","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SISTEMAS:salidas_venta:editar","SISTEMAS","salidas_venta","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SISTEMAS:salidas_venta:autorizar","SISTEMAS","salidas_venta","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SISTEMAS:equipos:autorizar","SISTEMAS","equipos","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:marcar_remate:ver","CONTADOR","marcar_remate","ver","puedeVer","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:marcar_remate:crear","CONTADOR","marcar_remate","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:marcar_remate:editar","CONTADOR","marcar_remate","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:dashboard:crear","CONTADOR","dashboard","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:dashboard:editar","CONTADOR","dashboard","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:dashboard:autorizar","CONTADOR","dashboard","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:pos:editar","CONTADOR","pos","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:pos:autorizar","CONTADOR","pos","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:entradas:autorizar","CONTADOR","entradas","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:movimientos:crear","CONTADOR","movimientos","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:movimientos:editar","CONTADOR","movimientos","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:movimientos:autorizar","CONTADOR","movimientos","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:etiquetas:autorizar","CONTADOR","etiquetas","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:inventario:crear","CONTADOR","inventario","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:inventario:autorizar","CONTADOR","inventario","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:productos:autorizar","CONTADOR","productos","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:precios:crear","CONTADOR","precios","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:precios:autorizar","CONTADOR","precios","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:ajustes:ver","CONTADOR","ajustes","ver","puedeVer","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:ajustes:editar","CONTADOR","ajustes","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:clientes:autorizar","CONTADOR","clientes","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:clientes_credito:crear","CONTADOR","clientes_credito","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:clientes_credito:autorizar","CONTADOR","clientes_credito","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:clientes_precios:crear","CONTADOR","clientes_precios","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:clientes_precios:editar","CONTADOR","clientes_precios","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:clientes_precios:autorizar","CONTADOR","clientes_precios","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:clientes_finanzas:editar","CONTADOR","clientes_finanzas","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:caja_abonos:ver","CONTADOR","caja_abonos","ver","puedeVer","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:caja_abonos:editar","CONTADOR","caja_abonos","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:caja_abonos:autorizar","CONTADOR","caja_abonos","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:clientes_recapturas:ver","CONTADOR","clientes_recapturas","ver","puedeVer","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:clientes_recapturas:editar","CONTADOR","clientes_recapturas","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:clientes_recapturas:autorizar","CONTADOR","clientes_recapturas","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:proveedores:autorizar","CONTADOR","proveedores","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:proveedores_finanzas:editar","CONTADOR","proveedores_finanzas","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:ubicaciones:autorizar","CONTADOR","ubicaciones","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:usuarios:autorizar","CONTADOR","usuarios","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:permisos:crear","CONTADOR","permisos","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:permisos:autorizar","CONTADOR","permisos","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:resumen_caja:crear","CONTADOR","resumen_caja","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:resumen_caja:editar","CONTADOR","resumen_caja","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:resumen_caja:autorizar","CONTADOR","resumen_caja","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:cortes:editar","CONTADOR","cortes","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:cortes:autorizar","CONTADOR","cortes","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:cobros_pagos:editar","CONTADOR","cobros_pagos","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:cobros_pagos:autorizar","CONTADOR","cobros_pagos","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:reportes:crear","CONTADOR","reportes","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:reportes:editar","CONTADOR","reportes","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:reportes:autorizar","CONTADOR","reportes","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:conciliacion:crear","CONTADOR","conciliacion","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:conciliacion:editar","CONTADOR","conciliacion","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:auditoria:crear","CONTADOR","auditoria","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:auditoria:editar","CONTADOR","auditoria","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:auditoria:autorizar","CONTADOR","auditoria","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:camionetas:autorizar","CONTADOR","camionetas","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:choferes:autorizar","CONTADOR","choferes","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:viajes:editar","CONTADOR","viajes","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:viajes:autorizar","CONTADOR","viajes","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:salidas_venta:editar","CONTADOR","salidas_venta","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:salidas_venta:autorizar","CONTADOR","salidas_venta","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CONTADOR:equipos:autorizar","CONTADOR","equipos","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
